id,name,type,sport_type,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,average_watts,suffer_score,calories,start_latlng,end_latlng,achievement_count,kudos_count,trainer,commute,manual,gear_id,description,distance_km,moving_time_min,pace_min_km,pace_str
17648548919,Lunch Ride,Ride,Ride,2026-03-08T11:30:33Z,0.0,2696,2696,0,0.0,0.0,0.0,0.0,174.3,198.0,,,98.0,,,,0,2,1,0,0,,,,44.93,,
17635350630,Lunch Run,Run,Run,2026-03-07T12:08:48Z,5019.2,2008,2011,2.6,10.8,-0.6,2.5,3.56,184.8,194.0,,165.7,104.0,,"51.475992,-0.156581","51.47491,-0.156056",0,3,0,0,0,g27048336,,5.0192,33.47,6.6677,6:40
17615668467,Afternoon Run,Run,Run,2026-03-05T16:33:16Z,8114.7,3730,3791,31.8,17.2,7.0,2.176,3.32,180.6,198.0,,146.6,160.0,,"51.565582,-0.00154","51.563233,-0.004228",7,2,0,0,0,g27048336,,8.1147,62.17,7.661,7:39
17614023797,Afternoon Workout,Workout,Workout,2026-03-05T14:11:10Z,0.0,3271,3271,0,0.0,0.0,0.0,0.0,142.3,181.0,,,28.0,,,,0,0,1,0,0,,,,54.52,,
17575685575,Lunch Workout,Workout,Workout,2026-03-02T12:28:51Z,0.0,3666,3666,0,0.0,0.0,0.0,0.0,121.6,169.0,,,13.0,,,,0,1,1,0,0,,,,61.1,,
17549647131,Morning Run,Run,Run,2026-02-28T09:04:26Z,5080.6,1957,1957,2.8,7.0,0.6,2.596,3.56,180.8,196.0,,162.5,86.0,,"51.478993,-0.159769","51.477655,-0.162752",2,2,0,0,0,g26095750,,5.0806,32.62,6.4198,6:25
17541257021,Lunch Workout,Workout,Workout,2026-02-27T12:12:45Z,0.0,3929,3929,0,0.0,0.0,0.0,0.0,128.2,175.0,,,16.0,,,,0,1,1,0,0,,,,65.48,,
17530425163,Afternoon Run,Run,Run,2026-02-26T13:37:16Z,5015.1,2183,2188,23.0,14.0,0.4,2.297,3.68,178.5,197.0,,143.7,92.0,,"51.475722,-0.1564","51.476169,-0.157708",3,0,0,0,0,g26095750,,5.0151,36.38,7.2548,7:15
17505552430,Lunch Workout,Workout,Workout,2026-02-24T12:21:20Z,0.0,3916,3916,0,0.0,0.0,0.0,0.0,113.0,167.0,,,12.0,,,,0,1,1,0,0,,,,65.27,,
17482411567,Lunch Pilates,Workout,Pilates,2026-02-22T11:00:45Z,0.0,3041,3041,0,0.0,0.0,0.0,0.0,93.8,121.0,,,5.0,,,,0,1,1,0,0,,,,50.68,,
17470675617,Morning Run,Run,Run,2026-02-21T09:07:05Z,5021.2,1932,1936,5.2,6.6,3.2,2.599,3.66,186.6,204.0,,159.0,101.0,,"51.478887,-0.160097","51.478103,-0.16316",3,3,0,0,0,g26095750,,5.0212,32.2,6.4128,6:24
17427084800,Lunch Stair-Stepper,StairStepper,StairStepper,2026-02-17T12:15:21Z,0.0,1344,1344,0,0.0,0.0,0.0,0.0,168.1,198.0,,,39.0,,,,0,1,1,0,0,,,,22.4,,
17416719869,Afternoon Run,Run,Run,2026-02-16T14:07:58Z,5847.5,2555,2569,48.4,11.4,1.4,2.289,4.24,171.5,198.0,,142.4,78.0,,"51.474944,-0.153127","51.481148,-0.150095",6,1,0,0,0,g26095750,,5.8475,42.58,7.2823,7:16
17416719938,Lunch Pilates,Workout,Pilates,2026-02-05T12:29:39Z,0.0,2850,2850,0,0.0,0.0,0.0,0.0,121.0,165.0,,,9.0,,,,0,0,1,0,0,,,,47.5,,
17240948491,Afternoon Run,Run,Run,2026-01-31T14:56:14Z,5015.3,2182,2197,29.2,14.0,3.2,2.299,4.16,183.6,200.0,,140.5,108.0,,"51.474161,-0.155587","51.480134,-0.205093",1,2,0,0,0,g27048336,,5.0153,36.37,7.2511,7:15
17230732418,1Rebel Spin,Ride,Ride,2026-01-30T13:29:37Z,0.0,2727,2727,0,0.0,0.0,0.0,0.0,182.1,207.0,,,126.0,,,,0,0,1,0,0,,,,45.45,,
17001756306,Lunch Run,Run,Run,2026-01-10T12:59:53Z,5017.3,2048,2078,11.2,7.6,3.0,2.45,3.42,169.7,186.0,,150.5,59.0,,"51.47588,-0.156497","51.475747,-0.16257",6,1,0,0,0,g26095750,,5.0173,34.13,6.8031,6:48
16990500535,Afternoon Run,Run,Run,2026-01-09T13:14:40Z,4199.9,1710,1764,18.4,29.6,19.2,2.456,3.38,179.0,194.0,,149.9,73.0,,"51.462681,-0.140936","51.461835,-0.140682",8,0,0,0,0,g26095750,,4.1999,28.5,6.7859,6:47
16985075245,Ski Practice,AlpineSki,AlpineSki,2026-01-07T11:34:30Z,0.0,5505,5505,0,0.0,0.0,0.0,0.0,129.8,174.0,,,27.0,,,,0,0,1,0,0,,,,91.75,,
16922339254,Lunch Run,Run,Run,2026-01-03T11:02:12Z,7019.6,2956,3343,32.4,21.4,3.8,2.375,3.64,178.2,195.0,,150.4,116.0,,"51.474467,-0.155906","51.50353,-0.153611",2,1,0,0,0,g26095750,,7.0196,49.27,7.0184,7:01
16922369907,Blok Strength,Workout,Workout,2026-01-02T12:35:33Z,0.0,2700,2700,0,,,0.0,0,,,,,,,,,0,1,0,0,1,,,,45.0,,
16829908466,Christmas Eve Run,Run,Run,2025-12-24T12:49:56Z,10606.5,5013,5061,235.2,232.6,124.4,2.116,4.1,172.2,191.0,,142.7,159.0,,"54.352942,-2.636134","54.324515,-2.530094",0,2,0,0,0,g26095750,,10.6065,83.55,7.8772,7:52
16775911723,Lunch Run,Run,Run,2025-12-18T11:52:32Z,5007.7,2488,2524,37.4,13.2,0.2,2.013,3.62,161.5,175.0,,127.9,55.0,,"55.238105,-4.855677","55.23998,-4.856682",0,0,0,0,0,g26095750,,5.0077,41.47,8.2806,8:16
16756536089,Morning Run,Run,Run,2025-12-16T10:06:10Z,5026.4,1965,2097,29.6,12.6,2.6,2.558,5.2,170.3,182.0,,162.0,56.0,,"55.238428,-4.855636","55.238202,-4.855743",0,1,0,0,0,g26095750,,5.0264,32.75,6.5156,6:30
16728923387,Battersea Park Run,Run,Run,2025-12-13T09:03:10Z,5010.0,1750,1754,7.4,6.2,3.0,2.863,4.113,179.0,195.0,,175.1,73.0,,"51.478973,-0.159828","51.478242,-0.163122",31,1,0,0,0,g26095750,,5.01,29.17,5.8217,5:49
16712875495,Lunch Run,Run,Run,2025-12-11T12:07:51Z,6724.4,3218,3238,44.6,13.4,3.8,2.09,3.46,158.5,170.0,,129.4,62.0,,"51.477753,-0.150482","51.476283,-0.156508",2,1,0,0,0,g26095750,,6.7244,53.63,7.9759,7:58
16694185992,Afternoon Swim,Swim,Swim,2025-12-09T13:27:12Z,800.0,2203,2203,0,0.0,0.0,0.363,5.0,111.1,135.0,,,6.0,,,,0,0,1,0,0,,,0.8,36.72,45.8958,45:53
16694185938,Lunch Workout,Workout,Workout,2025-12-09T12:34:04Z,0.0,1461,1461,0,0.0,0.0,0.0,0.0,162.1,184.0,,,31.0,,,,0,0,1,0,0,,,,24.35,,
16694186020,Lunch Run,Run,Run,2025-12-09T11:35:39Z,5009.5,2110,2114,20.8,12.8,2.8,2.374,3.56,173.2,188.0,,147.1,71.0,,"51.475783,-0.156465","51.477519,-0.151473",0,0,0,0,0,g26095750,,5.0095,35.17,7.02,7:01
16684235721,1Rebel Reformer,Workout,Pilates,2025-12-08T12:15:10Z,0.0,2699,2699,0,0.0,0.0,0.0,0.0,86.1,119.0,,,4.0,,,,0,0,1,0,0,,,,44.98,,
16674267015,Morning Run,Run,Run,2025-12-07T09:47:51Z,5025.8,2041,2097,24.2,16.0,2.6,2.462,4.878,171.5,187.0,,151.1,104.0,,"51.475815,-0.156527","51.477216,-0.152372",3,3,0,0,0,g26095750,,5.0258,34.02,6.7684,6:46
16657744091,Afternoon Run,Run,Run,2025-12-05T14:07:35Z,10005.8,4047,4141,54.0,9.6,3.0,2.472,5.14,177.6,191.0,,153.7,244.0,,"51.475448,-0.160756","51.475719,-0.159602",10,1,0,0,0,g27048336,,10.0058,67.45,6.7411,6:44
16648170530,Lunch Run,Run,Run,2025-12-04T12:58:45Z,5025.4,1936,1936,21.8,13.2,3.4,2.596,4.2,180.6,198.0,,158.4,125.0,,"51.475749,-0.156464","51.477444,-0.151691",5,0,0,0,0,g26095750,,5.0254,32.27,6.4207,6:25
16636468939,Morning Run,Run,Run,2025-12-02T10:36:00Z,4025.0,1656,1745,23.6,33.6,21.4,2.431,3.52,165.5,188.0,,150.2,67.0,,"51.459863,-0.142953","51.459906,-0.142773",5,1,0,0,0,g26095750,,4.025,27.6,6.8571,6:51
16636468895,Morning Pilates,Workout,Pilates,2025-12-01T10:17:39Z,0.0,2569,2569,0,0.0,0.0,0.0,0.0,102.1,149.0,,,7.0,,,,0,0,1,0,0,,,,42.82,,
16610426878,Afternoon Run,Run,Run,2025-11-30T13:28:31Z,3015.2,1130,1134,8.4,7.4,3.4,2.668,4.7,177.1,193.0,,161.7,66.0,,"51.475907,-0.156506","51.476399,-0.155862",3,1,0,0,0,g26095750,,3.0152,18.83,6.2461,6:14
16590846822,Lunch Run,Run,Run,2025-11-28T12:26:06Z,4393.2,1785,1790,14.8,7.4,2.6,2.461,4.4,183.4,190.0,,151.4,121.0,,"51.475787,-0.156514","51.476279,-0.156706",2,1,0,0,0,g26095750,,4.3932,29.75,6.7718,6:46
16590846731,Padel,Workout,Tennis,2025-11-27T18:09:41Z,0.0,3038,3038,0,0.0,0.0,0.0,0.0,122.6,156.0,,,13.0,,,,0,1,1,0,0,,,,50.63,,
16512376608,Rainforest run,Run,Run,2025-11-20T13:48:18Z,3505.8,1539,1596,89.6,776.4,742.8,2.278,4.0,173.3,190.0,,140.8,81.0,,"5.42103,100.26419","5.425521,100.267693",0,1,0,0,0,g26095750,,3.5058,25.65,7.3164,7:18
16436490856,Afternoon Run,Run,Run,2025-11-12T15:14:06Z,5034.2,2177,2183,13.2,7.0,2.8,2.312,3.38,167.8,181.0,,142.1,99.0,,"51.475751,-0.156479","51.477802,-0.150472",0,0,0,0,0,g26095750,,5.0342,36.28,7.2074,7:12
16392233130,Morning Run,Run,Run,2025-11-08T10:01:46Z,10078.8,3739,3742,23.4,16.4,10.6,2.696,4.187,189.4,204.0,,165.6,276.0,,"51.540172,-0.030098","51.53886,-0.030282",57,2,0,0,0,g27048336,,10.0788,62.32,6.1829,6:10
16392233075,Afternoon Yoga,Yoga,Yoga,2025-11-04T16:42:33Z,0.0,3789,3789,0,0.0,0.0,0.0,0.0,66.1,89.0,,,4.0,,,,0,0,1,0,0,,,,63.15,,
16333150186,1Rebel Reshape,Workout,HighIntensityIntervalTraining,2025-11-02T13:59:44Z,0.0,3651,3651,0,0.0,0.0,0.0,0.0,148.4,191.0,,,80.0,,,,0,0,1,0,0,,,,60.85,,
